garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_salemonth,latest_saleyear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories
4,0,0,0,0,1,0,4,2010,219000,1,9,2019,24,0,4,2,1,3,0,0,0,10000,1256,1,0,1,1,3.3,3,1457,13,2,3,1
0,0,0,1,0,1,1,0,2011,293300,6,2,2019,33,0,3,1,0,0,0,0,0,6011,3047,1,0,1,1,1.3,2.666666667,1063,14,3,3,2
0,0,0,1,0,1,1,0,1988,229999,1,5,2019,25,0,4,1,0,0,0,1,0,7274,1712,1,0,1,1,1.7,3,1457,13,3,3,2
0,0,0,1,0,1,1,0,1975,415000,1,3,2018,40,0,0,1,0,0,0,0,0,13503.6,2234,0,1,1,1,0.9,8.666666667,1632,16,3,3,1
2,0,0,0,0,1,1,2,1980,175000,2,12,2018,17,0,2,2,0,0,0,0,0,4835,1315,1,0,1,2,3.1,3.666666667,1085,11,2,3,1
0,1,0,1,0,1,1,0,1971,398900,4,12,2020,1,0,0,1,0,0,0,0,0,20037.6,2089,1,0,1,1,2.2,7,1523,17,2,3,1
0,0,0,1,0,1,0,0,2016,389900,4,7,2019,35,0,7,1,2,2,0,1,0,9626,3319,1,0,1,1,3.066666667,3.666666667,1532,12,3,5,2
2,0,0,0,0,1,1,2,2013,536170,9,8,2018,1,0,6,3,0,0,0,0,0,7230,3415,1,0,1,1,3.3,7.666666667,1259,14,4,5,2
2,0,0,0,0,0,0,2,2001,665000,1,11,2018,87,0,1,2,0,0,0,0,0,18295.2,4137,1,0,1,1,2.033333333,7,1277,16,4,5,2
0,0,0,1,0,1,1,0,1987,179900,1,3,2018,24,0,5,1,0,0,0,0,0,5880,1587,1,0,1,1,1.7,3,1457,13,2,4,1
2,0,0,0,0,1,1,2,1994,519900,1,9,2020,55,0,7,2,1,2,0,1,0,6054,2766,1,0,1,1,1.4,8,1275,15,3,4,2
0,0,0,1,0,1,1,0,2019,341054,2,12,2019,2,0,2,0,0,0,0,0,0,5000,2643,1,0,1,1,3.133333333,3,1457,13,3,4,2
2,1,0,0,0,1,1,2,1984,428000,10,10,2019,20,0,1,2,2,0,0,0,0,8537,2576,1,0,1,1,2.833333333,7,1523,17,3,3,2
2,0,0,0,0,1,0,2,2005,185000,2,12,2018,26,0,7,2,0,0,0,0,0,4312,1203,1,0,1,1,1.866666667,3,1457,13,2,3,1
0,0,0,1,0,1,1,0,2008,415000,2,8,2018,40,0,3,2,0,0,0,0,0,10236,3257,1,0,1,1,1.866666667,8.333333333,1481,16,4,5,2
2,0,0,0,0,1,1,2,2013,299900,5,10,2020,60,0,4,2,1,2,0,0,0,6141,2505,1,0,1,1,1.4,2.666666667,1063,14,3,4,2
0,0,0,1,0,1,1,0,2009,249900,2,6,2018,35,0,4,1,0,0,0,0,0,6098,1659,1,0,1,2,2.766666667,3.666666667,1085,11,3,3,2
3,0,0,0,0,1,0,3,2006,725000,1,5,2019,40,0,4,3,0,1,0,1,0,19166.4,3486,1,0,1,1,2.5,8.333333333,1533,17,4,4,2
